Joao Miyao,Rafael Mendes,L,Pts: 2x0,ADCC,66KG,SF,2013
Joao Miyao,Justin Rader,L,Points,ADCC,66KG,3PLC,2013
Joao Miyao,Bruno Malfacine,L,Referee Decision,World Champ.,57KG,F,2014
Joao Miyao,Bruno Malfacine,L,Adv,World Champ.,57KG,F,2015
Joao Miyao,Mikey Musumeci,L,"Pts: 4x4, Adv",American Nat.,64KG,F,2015
Joao Miyao,Garry Tonon,L,Referee Decision,FIVE SL,72KG,SPF,2015
Joao Miyao,Joe Soto,L,Points,EBI 4,65KG,SF,2015
Joao Miyao,Osvaldo Moizinho,L,Points,GT Open,ABS,SPF,2015
Joao Miyao,Osvaldo Moizinho,L,Pts: 6x4,GT Open,76KG,F,2015
Joao Miyao,Osvaldo Moizinho,D,Pts: 0x0,Berkut 2,ABS,SPF,2015
Joao Miyao,Caio Terra,L,Pts: 8x6,World Champ.,57KG,SF,2016
Joao Miyao,Mikey Musumeci,L,"Pts: 2x2, Adv",American Nats,64KG,F,2016
Joao Miyao,Mikey Musumeci,L,Pts: 2x0,Grand Slam - LA,62KG,F,2016
Joao Miyao,Mikey Musumeci,L,Pts: 10x8,NoGi Worlds,62KG,F,2016
Joao Miyao,Eduardo Telles,W,Adv,World Expo,ABS,SPF,2013
Joao Miyao,Naudimar Amaral,W,"<a href=""/?p=6332"">Choke from back</a>",Brasileiro CBJJE,NA,NA,2013
Joao Miyao,Mark Ramos,W,Calf slicer,ADCC,66KG,R1,2013
Joao Miyao,Ricardo Vieira,W,"<a href=""/?p=6438"">Heel hook</a>",ADCC,66KG,1/4F,2013
Joao Miyao,Hideyuki Yamada,W,"<a href=""/?p=6332"">Choke from back</a>",European,64KG,SF,2014
Joao Miyao,F. Spessoto,W,"<a href=""/?p=6332"">Choke from back</a>",Pan American,64KG,1/4F,2014
Joao Miyao,Rafael Barata,W,"<a href=""/?p=6332"">Choke from back</a>",Pan American,64KG,SF,2014
Joao Miyao,Giusley Santos,W,Pts: 4x0,Brasileiro,64KG,SF,2014
Joao Miyao,John Cho,W,Pts: 9x0,World Pro.,64KG,1/4F,2014
Joao Miyao,Tiago Bravo,W,Referee Decision,World Pro.,64KG,F,2014
Joao Miyao,Koji Shibamoto,W,Pts: 25x4,World Champ.,57KG,1/4F,2014
Joao Miyao,Ivaniel Oliveira,W,Pts: 2x0,World Champ.,57KG,SF,2014
Joao Miyao,Ivanildo Lima,W,"<a href=""/?p=6332"">Choke from back</a>",Rio Open,64KG,F,2014
Joao Miyao,Alexandre Oliveira,W,"<a href=""/?p=6332"">Choke from back</a>",Mundial CBJJE,64KG,SF,2014
Joao Miyao,Johnatha Guido,W,"<a href=""/?p=6332"">Choke from back</a>",Mundial CBJJE,64KG,F,2014
Joao Miyao,Jorge Elias,W,Triangle armbar,No Gi Pan Am.,64KG,SF,2014
Joao Miyao,Mark Ramos,W,"<a href=""/?p=5463"">Armbar</a>",No Gi Pan Am.,64KG,F,2014
Joao Miyao,Jorge Elias,W,Points,No Gi Worlds,64KG,1/4F,2014
Joao Miyao,Fabbio Passos,W,"<a href=""/?p=5463"">Armbar</a>",No Gi Worlds,64KG,SF,2014
Joao Miyao,Thomas Lisboa,W,Pts: 10x4,No Gi Worlds,64KG,F,2014
Joao Miyao,Mark Ramos,W,"<a href=""/?p=6332"">Choke from back</a>",NYC Pro,70KG,1/4F,2014
Joao Miyao,Paulo Santana,W,"<a href=""/?p=6332"">Bow and arrow</a>",NYC Pro,70KG,SF,2014
Joao Miyao,Gianni Grippo,W,Pts: 6x4,NYC Pro,70KG,F,2014
Joao Miyao,Gianni Grippo,W,Pen,Copa Podio,70KG,SPF,2014
Joao Miyao,Walter Telles,W,"<a href=""/?p=4658"">Arm in Ezekiel</a>",South American,64KG,NA,2014
Joao Miyao,Unknown,W,"<a href=""/?p=4302"">RNC</a>",ADCC Trials,77KG,1/4F,2014
Joao Miyao,Bruno Aparecido,W,Points,ADCC Trials,77KG,F,2014
Joao Miyao,Lucas Dantas,W,Pts: 8x4,European,64KG,1/4F,2015
Joao Miyao,S. Franceschini,W,"<a href=""/?p=6332"">Bow and arrow</a>",European,64KG,SF,2015
Joao Miyao,Paulo Filho,W,"<a href=""/?p=6332"">Choke from back</a>",Pan American,64KG,1/4F,2015
Joao Miyao,Rafael Freitas,W,Choke,Pan American,64KG,SF,2015
Joao Miyao,David Domzalski,W,Submission,Chicago Spring,64KG,SF,2015
Joao Miyao,Wellington Dias,W,"<a href=""/?p=6332"">Choke from back</a>",Chicago Spring,64KG,F,2015
Joao Miyao,Paulo Silva,W,Points,NY Spring Open,64KG,F,2015
Joao Miyao,Pedro Azevedo,W,N/A,Brasileiro,64KG,SF,2015
Joao Miyao,Thomas Lisboa,W,"<a href=""/?p=6332"">Choke from back</a>",Brasileiro,64KG,F,2015
Joao Miyao,Andre Pontes,W,"<a href=""/?p=3592"">Triangle</a>",Las Vegas Open,64KG,F,2015
Joao Miyao,Koji Shibamoto,W,Pts: 6x2,World Champ.,57KG,1/4F,2015
Joao Miyao,Ivaniel Oliveira,W,"<a href=""/?p=6332"">Choke from back</a>",World Champ.,57KG,SF,2015
Joao Miyao,Ramon Flores,W,N/A,BJJ Tour,64KG,F,2015
Joao Miyao,Ruben Alvarez,W,"<a href=""/?p=4455"">Omoplata</a>",Grapplers Quest,65KG,1/4F,2015
Joao Miyao,Mike Main,W,"<a href=""/?p=6438"">Heel hook</a>",Grapplers Quest,65KG,SF,2015
