Opponent,W/L,Method,Competition,Weight,Stage,Year
Jackson Sousa,L,Pts: 2x0,World Pro,95KG,SF,2015
Luiz Panza,L,Points,World Pro,95KG,3RD,2015
Gregor Gracie,L,Referee Decision,Grand Slam Tokyo,94KG,F,2015
Rodrigo Caporal,L,Pts: 2x0,Grand Slam Tokyo,ABS,SF,2015
Lucio Rodrigues,L,Referee Decision,Grand Slam Tokyo,ABS,3RD,2015
Evandro Nunes,L,Triangle,Grand Slam LA,94KG,SF,2015
Jackson Sousa,L,Pts: 0x0, Adv,Grand Slam LA,94KG,3RD,2015
Gustavo Adolfo,L,Pts: 0x0, Adv,Grand Slam - Rio,94KG,1/4F,2015
R. Evangelista,L,Pts: 4x0,Grand Slam - Rio,ABS,1/4F,2015
Erberth Santos,L,Choke from back,London Grand Slam,94KG,F,2016
Keenan Cornelius,L,Armbar,World Pro,ABS,1/8F,2016
Erberth Santos,L,Pts: 4x0,World Pro,94KG,SF,2016
Gabriel Arges,L,Pts: 2x0,Grand Slam Tokyo,85KG,F,2016
Hai Long To,W,Pts: 15x0,Asian B. Games,90KG,R1,2014
Mohammed Ali,W,Adv,Asian B. Games,90KG,1/4F,2014
Iraj Amrikhani,W,Pts: 4x0,Asian B. Games,90KG,SF,2014
Al Kaabi,W,Armbar,Asian B. Games,90KG,F,2014
Julio Magalḥes,W,Kimura,Rio Fall Open,O100KG,1/4F,2015
Karol Migo,W,Points,World Pro,95KG,R1,2015
Eduardo Inojosa,W,Points,World Pro,95KG,1/4F,2015
Mike Fowler,W,Adv,Grand Slam Tokyo,94KG,SF,2015
Reis C.,W,Pts: 5x0,Grand Slam - Rio,ABS,R2,2015
Iuri Pinheiro,W,Pts: 3x0,Grand Slam - Rio,ABS,1/8F,2015
Max Wisniewski,W,Pts: 0x0, Adv,London Grand Slam,94KG,SF,2016
Thiago Pessoa,W,Pts: 2x0,World Pro,ABS,R2,2016
Isaac Dul,W,N/A,World Pro,94KG,1/4F,2016
Akihiro Kawakami,W,Pts: 2x0,Grand Slam Tokyo,85KG,SF,2016
