Opponent,W/L,Method,Competition,Weight,Stage,Year
Thiago Gaia,L,Pts: 4x0,Brasileiro NoGi,73KG,F,2015
Lucas Valle,L,Pts: 2x0,Grand Slam - Rio,77KG,SF,2015
Edwin Najmi,L,Estima lock,Pan American,76KG,1/8F,2016
Marcio Andre,L,Pts: 6x2,World Pro,69KG,SF,2016
Tiago Bravo,L,Pts: 2x0,World Pro,69KG,3RD,2016
Caio Almeida,L,Pts: 4x2,Curitiba Open,76KG,F,2016
Julio Anjos,L,Pts: 6x2,Sao Paulo Open,76KG,R1,2016
Vitor Mattos,W,Pts: 4x0,Brasileiro NoGi,73KG,1/4F,2015
Herbert Burns,W,Injury,Brasileiro NoGi,73KG,SF,2015
M. Cavalcante,W,Triangle,Grand Slam - Rio,77KG,R1,2015
Rodrigo Barbosa,W,Pts: 0x0, Adv,Grand Slam - Rio,77KG,1/8F,2015
Rene Lima,W,Estima lock,Grand Slam - Rio,77KG,1/4F,2015
Joao Ferreira,W,Pts: 6x2,Pan American,76KG,R1,2016
Sergio Calderon,W,Pts: 2x2, Adv,World Pro,69KG,R1,2016
Gianni Grippo,W,Pts: 0x0, Adv,World Pro,69KG,1/8F,2016
Edu Concei̤̣o,W,Choke from back,Curitiba Open,76KG,1/4F,2016
Diego Vivaldo,W,Pts: 2x0,Curitiba Open,76KG,SF,2016
