Opponent,W/L,Method,Competition,Weight,Stage,Year
Celso Vinicius,L,Referee Decision,Pan American,76KG,SF,2008
Celso Vinicius,L,Points,World Champ.,76KG,SF,2008
Leandro Lo,L,Pts: 4x0,World Pro.,74KG,SF,2011
Rodolfo Vieira,L,Armbar,World Pro.,ABS,1/4F,2011
Leandro Lo,L,Adv,Brasileiro,76KG,F,2011
Kron Gracie,L,Referee Decision,World Champ.,76KG,SF,2011
Roberto Satoshi,L,Pts: 4x4, Adv,European Open,76KG,SF,2012
Leandro Lo,L,Pts: 2x0,World Champ.,76KG,F,2013
JT Torres,L,Pts: 4x4, Adv,World Champ.,76KG,SF,2014
Luan Carvalho,L,Referee Decision,Brasileiro,76KG,SF,2015
Gabriel Rollo,L,Referee Decision,World Champ.,76KG,1/4F,2016
Rafael Barbosa,W,Pts: 2x0,Pan American,76KG,1/4F,2008
Michel Maia,W,Choke from back,Brasileiro,76KG,SF,2008
Vinicius Marinho,W,Pts: 4x0,Brasileiro,76KG,F,2008
F. Sabatini,W,Arm in ezekiel,World Champ.,76KG,1/4F,2008
Cleber Lopes,W,Points,Capital Challenge,77KG,1/4F,2008
Yan Cabral,W,Referee Decision,Capital Challenge,77KG,SF,2008
Sergio Moraes,W,Triangle,Capital Challenge,77KG,F,2008
Thibaut Olivier,W,Choke,European,76KG,SF,2009
Daisuke Sugie,W,Cross choke,European,76KG,F,2009
Unknown,W,Choke from back,European,ABS,R1,2009
Marcelo Garcia,W,Adv,World Pro.,76KG,F,2009
Augusto Mendes,W,Armbar,Pan American,76KG,SF,2009
Helder Medeiros,W,Pts: 0x0, Adv,Brasileiro NoGi,76KG,F,2009
Augusto Mendes,W,Pts: 4x4, Adv,World Champ.,76KG,1/4F,2009
Philipe Monica,W,Pts: 4x2,World Champ.,76KG,SF,2009
Gilbert Burns,W,Pts: 9x2,World Champ.,76KG,F,2009
Unknown,W,Armbar,European,76KG,1/4F,2010
JT Torres,W,Adv,European,76KG,SF,2010
Rodrigo Freitas,W,Bow and arrow,Pan American,76KG,1/4F,2010
Jonatas Gurgel,W,Choke from back,Pan American,76KG,SF,2010
Bernardo Campos,W,Bow and arrow,World Champ.,76KG,1/4F,2010
Gilbert Burns,W,Referee Decision,World Champ.,76KG,SF,2010
Celso Vinicius,W,Referee Decision,World Champ.,76KG,F,2010
JT Torres,W,Choke from back,Pan American,76KG,SF,2011
Davi Ramos,W,Points,Brasileiro,76KG,SF,2011
Unknown,W,DQ,World Champ.,76KG,RDS,2011
Carlos Vieira,W,Submission,World Champ.,76KG,RDS,2011
Davi Ramos,W,Pts: 4x0,World Champ.,76KG,1/4F,2011
Wesley Fe,W,Brabo choke,FL BJJ Open,76KG,F,2011
Pakisi Nginga,W,Bow and arrow,European Open,76KG,1/4F,2012
Claudio Mattos,W,Pts: 8x4,Copa Podio,ABS,SPF,2012
Nic Ruben,W,Pts: 11x0,European NoGi,82KG,SF,2012
Matheus Barros,W,N/A,European NoGi,82KG,F,2012
Pedro Bessa,W,Choke from back,London Open,82KG,F,2012
Vinicius Marinho,W,Pts: 9x4,European Open,76KG,F,2013
Yoshinobu Kakizawa,W,Points,Pan American,76KG,R2,2013
JT Torres,W,Choke,Pan American,76KG,SF,2013
Zak Maxwell,W,Pts: 8x2,World Champ.,76KG,1/4F,2013
Rodrigo Caporal,W,Pts: 6x4,World Champ.,76KG,SF,2013
Uknown,W,Manoplata,European,76KG,1/4F,2014
Sandro Vieira,W,Choke from back,European,76KG,SF,2014
Julian Vega,W,Pts: 8x0,Pan American,76KG,R1,2014
Marcel Goulart,W,Choke from back,Pan American,76KG,1/4F,2014
Della Monica,W,Choke f/ omoplata,Pan American,76KG,SF,2014
H. Takamoto,W,N/A,World Champ.,76KG,R1,2014
Helton Ambo,W,Choke from back,World Champ.,76KG,1/8F,2014
Philipe Fuṛo,W,Triangle,World Champ.,76KG,1/4F,2014
Lucas Ramos,W,Armbar,Brazil Nat. Pro,75KG,1/4F,2015
Alex Cabanes,W,Pts: 21x0,European,76KG,R2,2015
Thibaut Olivier,W,Pts: 12x0,European,76KG,1/4F,2015
Sandro Vieira,W,Pts: 4x0,European,76KG,SF,2015
Gabriel Rollo,W,Referee Decision,European,76KG,F,2015
Unknown,W,Choke from back,Brasileiro,76KG,1/4F,2015
AJ Sousa,W,Points,World Champ.,76KG,1/8F,2015
Samuel Hertzog,W,Pts: 2x0,World Champ.,76KG,1/4F,2015
JT Torres,W,Pts: 2x2, Adv,World Champ.,76KG,SF,2015
Cristian Lopez,W,RNC,NoGi Worlds,76KG,1/8F,2015
Garry Tonon,W,Pts: 4x2,NoGi Worlds,76KG,1/4F,2015
Thiago Abreu,W,Pts: 0x0, Adv,NoGi Worlds,76KG,SF,2015
Mansher Khera,W,Pts: 0x0, Adv,NoGi Worlds,76KG,F,2015
Julio da Silva,W,N/A,Brasileiro,76KG,1/8F,2016
Almir Dantas,W,N/A,Brasileiro,76KG,1/4F,2016
Theodoro Canal,W,N/A,Brasileiro,76KG,SF,2016
Kevin Mahecha,W,Pts: 4x2,World Champ.,76KG,R2,2016
