Opponent,W/L,Method,Competition,Weight,Stage,Year
Rodrigo Cavaca,L,Triangle,European,ABS,1/4F,2010
Augusto Mendes,L,DQ,Pan American,76KG,1/4F,2011
Alexandre Ceconi,L,Pts: 3x0,World Champ.,ABS,1/4F,2011
Murilo Santana,L,Triangle,ADCC Trials,77KG,NA,2011
Murilo Santana,L,Armbar,Pan American,ABS,R2,2012
Philipe Della Monica,L,Points,Pan American,76KG,1/4F,2012
Leandro Lo,L,Pts: 21x0,World Champ.,76KG,1/4F,2012
Michael Langhi,L,Pts: 6x4,World Champ.,76KG,SF,2013
David Avellan,L,Referee Decision,ADCC,88KG,R1,2013
Gabriel Goulart,L,Adv,Pan American,76KG,R1,2014
Abraham Marte,L,Pts: 10x0,Asian Open,ABS,SF,2014
Roberto Satoshi,L,Pts: 2x0,Boa Super 8,ABS,SF,2015
Murilo Santana,L,Triangle,Pan American,ABS,R2,2015
Luan Carvalho,L,Points,Pan American,76KG,R1,2015
Samuel Hertzog,L,Points,World Champ.,76KG,1/8F,2015
Roberto Satoshi,L,Pts: 2x0,Grand Slam Tokyo,77KG,SF,2015
Erberth Santos,L,Choke,Grand Slam Tokyo,ABS,F,2015
Andris Brunovskis,L,Pts: 8x4,Asian Open,82KG,F,2015
Dany Gerard,L,Points,Asian Open,ABS,F,2015
Otavio Sousa,L,Advantages,NoGi Worlds,82KG,1/4F,2015
R. Evangelista,L,Pts: 10x0,World Pro,ABS,R1,2016
Rafael Carvalho,L,N/A,World Pro,77KG,R1,2016
Gabriel Rollo,L,Points,One Challenge,75KG,SF,2016
Romulo Barral,W,Pts: 2x2, Adv,World Champ.,ABS,R2,2011
Ricardo Mesquita,W,N/A,Pan American,ABS,R1,2012
Rafael Rosendo,W,Wristlock,Pan American,76KG,R2,2012
Vinicius Marinho,W,Points,World Pro.,76KG,R1,2012
Lucas Lepri,W,Pts: 2x0,World Pro.,76KG,R2,2012
Marcel Gon̤alves,W,Submission,World Champ.,ABS,R1,2012
Emmanuel Maximiliani,W,Submission,World Champ.,76KG,R1,2012
Claudio Mattos,W,Points,World Champ.,76KG,1/4F,2013
Kleber Koike,W,Pts: 12x0,Grand Slam Tokyo,77KG,3RD,2015
Faisal AlKitbe,W,Pts: 2x0,Grand Slam Tokyo,ABS,SF,2015
Stephen Martinez,W,Darce choke,NoGi Worlds,82KG,1/8F,2015
Daniel Baia,W,Pts: 0x0, Adv,World Pro,ABS,R1,2016
