Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Dantas,L,Points,Brasileiro,ABS,1/4F,2002
Roger Graci.,L,Points,Team Nationals,O88KG,F,2002
Roger Gracie,L,Points,Team Nationals,O88KG,1/4F,2003
Fabio Nascimento,L,Points,World Cup,88KG,SF,2003
Ronaldo Souza,L,Pts: 0x0, Pen,ADCC,88KG,F,2005
Braulio Estima,L,Pts: 0x0, Adv,World Champ.,88KG,SF,2005
Alexandre Ribeiro,L,Pts: 0x0, Adv,Pan American,ABS,1/4F,2006
Roberto Abreu,L,Pts: 4x0,World Champ.,ABS,1/4F,2006
Romulo Barral,L,Brabo choke,Brasileiro,88KG,SF,2006
Marcelo Garcia,L,Pts: 2x0,Brasileiro,ABS,F,2006
Luiz Theodoro,L,Referee Decision,Super Challenge,ABS,1/4F,2007
Leandro Borgo,W,Pts: 5x0,Team Nationals,O88KG,F,2003
Ricardo Tozzi,W,Triangle,World Cup,ABS,R1,2003
Fabio Nascimento,W,Choke from back,World Cup,ABS,1/4F,2003
Fernando Paradeda,W,Points,World Cup,ABS,SF,2003
Gabriel Nap̣o,W,Points,World Cup,ABS,F,2003
Marko Helen,W,Pts: 3x0,ADCC,88KG,R1,2005
David Avellan,W,Pts: 3x0,ADCC,88KG,1/4F,2005
Saulo Ribeiro,W,Pts: 0x0, Pen,ADCC,88KG,SF,2005
Paulo Jacare,W,Pts: 8x0,World Cup,88KG,SF,2005
Ronaldo Souza,W,Adv,World Cup,88KG,F,2005
Rodrigo Pnheiro,W,Pts: 4x4, Adv,World Champ.,88KG,R1,2005
Antonio Borges,W,Choke from back,World Champ.,88KG,1/4F,2005
Paulo Gazze,W,Triangle,Pan American,88KG,1/4F,2006
Romulo Barral,W,Pts: 4x2,Pan American,88KG,SF,2006
Givanildo Santana,W,Points,Pan American,88KG,F,2006
Rafael Barbosa,W,Armbar,Pan American,ABS,R1,2006
Rodolfo Silva,W,Points,World Champ.,ABS,R1,2006
Romulo Barral,W,Referee Decision,Brasileiro,ABS,1/4F,2006
Fernando Piero,W,Omoplata,Brasileiro,ABS,SF,2006
Yushin Okami,W,Points,ADCC,88KG,R1,2007
Rafael Lovato,W,Points,ADCC,88KG,1/4F,2007
Tarsis Humphreys,W,Points,ADCC,88KG,SF,2007
Flavio Almeida,W,Armbar,ADCC,88KG,F,2007
Bruno Bastos,W,Pts: 3x0,Super Challenge,ABS,R1,2007
