Opponent,W/L,Method,Competition,Weight,Stage,Year
Claudio Calasans,L,Pts: 0x0, Adv,Mundial CBJJE,ABS,F,2012
Leandro Lo,L,Pts: 15x4,Pan Am. CBJJE,ABS,NA,2013
Bernardo Faria,L,Omoplata,European Open,ABS,1/4F,2013
Andre Galvao,L,Choke from back,Pan American,88KG,R2,2013
Manny Diaz,L,Pts: 2x0,Copa Podio,88KG,GP,2013
Jaime Canuto,L,Pts: 0x0, Adv,Copa Podio,88KG,GP,2013
Paulo Miyao,L,Choke from back,Copa Podio,88KG,GP,2013
Abraham Marte,L,Bow and arrow,World Champ.,ABS,RDS,2013
Murilo Santana,L,Pts: 8x0,Mundial CBJJE,88KG,F,2013
Diogo Sampaio,L,Pts: 4x0,World Pro Trial,88KG,F,2014
Murilo Santana,L,Referee Decision,World Pro Trial,ABS,F,2014
Gustavo Campos,L,Pts: 8x8, Adv,Pan American,88KG,SF,2014
Alexandre Ribeiro,L,Pts: 2x0,Brasileiro,ABS,SF,2014
Felipe Pena,L,Adv,Brasileiro,88KG,F,2014
Andre Galvao,L,Pts: 0x0, Adv,World Pro.,88KG,SF,2014
Gustavo Campos,L,Pts: 11x2,World Champ.,88KG,1/4F,2014
Claudio Calasans,L,Pts: 0x0, Adv,Brazil Nat. Pro,85KG,1/4F,2015
Tarcisio Jardim,L,Pts: 0x0, Adv,European,ABS,1/4F,2015
Andre Galvao,L,Pts: 4x0,European,88KG,F,2015
Keenan Cornelius,L,Pts: 5x2,Pan American,88KG,1/4F,2015
Claudio Calasans,L,Pts: 0x0, Adv,World Pro,85KG,R2,2015
Erberth Santos,L,Pts: 0x0, Pen,Brasileiro,ABS,F,2015
Leandro Lo,L,Pts: 15x2,World Champ.,88KG,SF,2015
Igor Schneider,L,Pts: 5x2,Brazil Nat. Pro,O77KG,SF,2015
Erberth Santos,L,Adv,SP National Pro,94KG,F,2015
Leandro Pedrosa,L,Pts: 4x2,SP National Pro,O77KG,1/4F,2015
Erberth Santos,L,Pts: 4x2,South American,ABS,SF,2015
Patrick Gaudio,L,Pts: 2x2, Adv,South American,88KG,F,2015
Leandro Lo,L,Toe hold,Pan American,88KG,SF,2016
Lucio Lagarto,L,Referee Decision,World Pro,ABS,R1,2016
Leandro Lo,L,Pts: 2x0,World Pro,85KG,SF,2016
Erberth Santos,L,Points,Brasileiro,ABS,SF,2016
Keenan Cornelius,L,Pts: 5x2,World Champ.,88KG,1/4F,2016
Jaroslaw Gajek,W,Triangle,Mundial CBJJE,88KG,1/4F,2012
Anderson Cyborg,W,Botinha,Mundial CBJJE,88KG,SF,2012
Vitor Toledo,W,Pts: 0x0, Adv,Mundial CBJJE,88KG,F,2012
Mario Henrique,W,Triangle,Mundial CBJJE,ABS,1/4F,2012
Leandro Brassoto,W,Botinha,Mundial CBJJE,ABS,SF,2012
Unknown,W,Points,Pre Pans FPJJ,O100KG,R1,2013
Unknown,W,Botinha,Pre Pans FPJJ,O100KG,1/4F,2013
Caio Almeida,W,Botinha,Pre Pans FPJJ,O100KG,SF,2013
Unknown,W,Botinha,Manaus Pro Trials,85KG,R1,2013
Unknown,W,Botinha,Manaus Pro Trials,85KG,1/4F,2013
Felipe Pregui̤a,W,Kneebar,Manaus Pro Trials,85KG,SF,2013
Nic Ruben,W,Pts: 0x0, Adv,European Open,ABS,R1,2013
Jose Junior,W,Botinha,European Open,ABS,R2,2013
Felipe Pena,W,Points,Pan American,88KG,R1,2013
Travis Stevens,W,Triangle armbar,Copa Podio,88KG,GP,2013
Nilson Braga,W,Points,World Champ.,ABS,RDS,2013
Jurandir Vieira,W,Botinha,Mundial CBJJE,88KG,1/4F,2013
Anderson Cyborg,W,Botinha,Mundial CBJJE,88KG,SF,2013
Sergio Moraes,W,Kneebar,World Pro Trial,88KG,1/4F,2014
Pedro Mello,W,Triangle,World Pro Trial,88KG,SF,2014
M. Wisniewski,W,N/A,European,88KG,SF,2014
William Zumbro,W,Points,Pan American,88KG,R1,2014
Vitor Toledo,W,Points,Pan American,88KG,1/4F,2014
Cassio Francis,W,Points,Brasileiro,ABS,R1,2014
Max Carvalho,W,Pts: 0x0, Adv,World Pro.,88KG,1/4F,2014
Marcus Vinicius,W,Points,World Pro.,88KG,3PLC,2014
Unknown,W,Triangle,Camp. Internacional,ABS,SF,2014
Paulo Miyao,W,Pts: 3x0,Camp. Internacional,ABS,F,2014
Stefano Goia,W,Wristlock,BJJ Stars,ABS,SPF,2014
Andre G.,W,Kneebar,South American,ABS,1/4F,2014
Vinicius Marinho,W,Botinha,South American,ABS,SF,2014
Tony Ferraz,W,Pts: 20x0,South American,88KG,1/4F,2014
Stefano Correa,W,Botinha,South American,88KG,SF,2014
Victor Bomfim,W,Kneebar,South American,88KG,F,2014
Jose Junior,W,Botinha,European,ABS,R2,2015
C. Negromonte,W,Pts: 2x0,European,ABS,R3,2015
Julien Cazier,W,Botinha,European,88KG,R2,2015
Thiago Braga,W,Pts: 4x2,European,88KG,1/4F,2015
Max Carvalho,W,Pts: 7x0,European,88KG,SF,2015
Anderson Wesiley,W,Botinha,World Pro Trials,88KG,F,2015
Raphael Nicolas,W,Adv,World Pro Trials,ABS,F,2015
Steven Peterson,W,Pts: 0x0, Adv,Pan American,88KG,R2,2015
Darragh OConaill,W,Wristlock,World Pro,85KG,R1,2015
Fabio Pulita,W,Points,World Pro,ABS,R1,2015
Adriano Meletto,W,Choke from back,Brasileiro,88KG,1/4F,2015
William Lima,W,Referee Decision,Brasileiro,88KG,SF,2015
Pedro Pimenta,W,Armbar,Brasileiro,88KG,F,2015
Stefano Correa,W,Estima lock,Brasileiro,ABS,R1,2015
Ricardo Rocha,W,Botinha,Brasileiro,ABS,R2,2015
Felipe Cesar,W,Triangle,Brasileiro,ABS,1/4F,2015
Pedro Moura,W,Armbar,Brasileiro,ABS,SF,2015
Pedro Mello,W,Botinha,World Champ.,88KG,1/8F,2015
Thiago Sa,W,Triangle,World Champ.,88KG,1/4F,2015
Gabriel Vieira,W,Pts: 2x0,Mundial CBJJE,ABS,1/4F,2015
Rodrigo Ribeiro,W,Referee Decision,Mundial CBJJE,ABS,SF,2015
Otavio Natali,W,Referee Decision,Mundial CBJJE,ABS,F,2015
F. Toshio,W,Pts: 10x0,SP Open,88KG,1/4F,2015
Marcos Paulo,W,Kneebar,SP Open,88KG,SF,2015
Stefano Correa,W,Botinha,SP Open,88KG,F,2015
Unknown,W,Botinha,SP Open,ABS,1/4F,2015
Rodrigo Ribeiro,W,Pts: 14x2,SP Open,ABS,SF,2015
Caio Almeida,W,Pts: 6x0,SP Open,ABS,F,2015
Gilberto Medeiros,W,Pts: 4x0,Brazil Nat. Pro,85KG,1/4F,2015
Igor Marques,W,Botinha,Brazil Nat. Pro,85KG,F,2015
Unknown,W,Botinha,Brazil Nat. Pro,O77KG,R1,2015
Unknown,W,Botinha,Floripa Open,ABS,R1,2015
Otavio Natali,W,Pts: 3x0,Floripa Open,ABS,F,2015
Unknown,W,Botinha,SP National Pro,94KG,1/4F,2015
Unknown,W,Botinha,SP National Pro,94KG,SF,2015
Unknown,W,Injury,SP National Pro,O77KG,R1,2015
Thiago Souza,W,Wristlock,South American,ABS,R1,2015
Unknown,W,Botinha,South American,ABS,1/8F,2015
Patrick Gaudio,W,Footlock,South American,ABS,1/4F,2015
Marcus Oliveira,W,Pts: 12x0,South American,88KG,1/4F,2015
Pedro Henrique,W,Kneebar,South American,88KG,SF,2015
Inacio Neto,W,Pts: 9x2,Pan American,88KG,1/8F,2016
Rodrigo Frajardo,W,Pts: 16x0,Pan American,88KG,1/4F,2016
