Opponent,W/L,Method,Competition,Weight,Stage,Year
Claudevan Oliveira;L;Kneebar;Rio Winter Open;76KG;R1;2016
Fabio Caloi;L;Toe hold;Floripa Open;76KG;SF;2016
Marcelo Yoshi;W;Pts: 21x0;JJ Olimpico GP;76KG;1/4F;2016
Luciano Izzi;W;Pts: 12x0;JJ Olimpico GP;76KG;SF;2016
Phillipe Iorio;W;Triangle;JJ Olimpico GP;76KG;F;2016
Igor Ferreira;W;RNC;Brasileiro Equipes;76KG;SF;2016
S̩rgio Benini;W;Points;Brasileiro Equipes;76KG;F;2016
Robson Borges;W;N/A;Floripa Open;76KG;1/4F;2016
