Opponent,W/L,Method,Competition,Weight,Stage,Year
Osvaldo Moizinho,L,Pts: 4x2,World Champ.,70KG,1/8F,2015
Michael Liera,L,Triangle,European Open,76KG,1/4F,2016
Isaque Paiva,L,Choke,Brasileiro,70KG,1/4F,2016
Isaque Paiva,L,Pts: 2x0,Rio Winter Open,70KG,F,2016
Sergio Calderon,W,Choke from back,London Winter Op.,70KG,SF,2015
Carlos Eduardo,W,Katagatame,London Winter Op.,70KG,F,2015
Kim Terra,W,Referee Decision,Pan American,70KG,1/4F,2015
Unknown,W,Armbar,Newbreed AC,ABS,F,2015
Douglas Saraiva,W,Choke from back,Confere 8,76KG,SPF,2015
Thibaut Olivier,W,Pts: 2x2, Adv,European Open,76KG,R1,2016
Anderson Pereira,W,N/A,Brasileiro,70KG,1/8F,2016
Pedro Petr̫nio,W,N/A,Brasileiro,70KG,1/4F,2016
Wendel Silva,W,N/A,Rio Winter Open,70KG,R1,2016
Unknown,W,Choke from back,Rio Winter Open,70KG,1/4F,2016
Victor Moraes,W,Choke from back,Rio Winter Open,70KG,SF,2016
Jhonny Trece,W,Choke,Sao Paulo Open,70KG,1/4F,2016
Marcos Campo,W,Choke,Sao Paulo Open,70KG,SF,2016
Victor Moraes,W,RNC,Sao Paulo Open,70KG,F,2016
