Opponent,W/L,Method,Competition,Weight,Stage,Year
Demian Maia,L,Pts: 4x2,Pan American,88KG,SF,2006
Delson Heleno,L,Choke,World Cup,88KG,F,2006
Demian Maia,L,Referee Decision,Brasileiro,ABS,1/4F,2006
Tarsis Humphreys,L,Points,ADCC Trials,88KG,SF,2007
Flavio Almeida,L,Points,ADCC,88KG,SF,2007
Tarsis Humphreys,L,Footlock,ADCC,88KG,3PLC,2007
Roger Gracie,L,Choke from back,World Champ.,ABS,F,2007
Saulo Ribeiro,L,Referee Decision,NoGi Pan Am.,88KG,F,2007
Braga Neto,L,N/A,Pan American,ABS,SF,2009
Saulo Ribeiro,L,Points,ADCC,O99KG,1/4F,2009
Roger Gracie,L,Cross choke,World Champ.,ABS,F,2009
Alexandre Ceconi,L,Pts: 3x2,World Pro.,92KG,F,2010
Tarsis Humphreys,L,Leglock,World Champ.,88KG,F,2010
Vinicius Corrales,L,Pts: 6x4,World Pro.,83KG,SF,2011
Rodrigo Caporal,L,Pts: 2x2, Adv,World Champ.,ABS,R2,2011
Sergio Moraes,L,Pts: 4x2,World Champ.,88KG,F,2011
Kyle Griffin,L,Pts: 2x0,ADCC,88KG,R1,2011
Alexandre Ribeiro,L,Pts: 2x0,SD World Trials,92KG,F,2012
Nivaldo Oliveira,L,Points,Brasileiro,88KG,SF,2012
Antonio Carlos,L,Pts: 4x0,Brasileiro,ABS,SF,2012
Antonio Carlos,L,Pts: 2x0,World Champ.,ABS,1/4F,2012
Pablo Popovitch,L,Pts: 3x0,NoGi Worlds,88KG,F,2012
Gustavo Campos,L,Pts: 10x4,Pan American,88KG,R1,2013
Andre Galvao,L,Verbal tap,World Pro,88KG,F,2013
Andre Galvao,L,Pts: 2x0,World Pro.,88KG,F,2014
Yuri Simoes,L,Pts: 3x0,ADCC,88KG,SF,2015
Rustam Chsiev,L,Referee Decision,ADCC,88KG,3RD,2015
Vagner Rocha,L,Pts: 2x0,ADCC,ABS,R1,2015
Andre Galvao,L,Pts: 1x0,Berkut 2,ABS,SPF,2015
Leandro Lo,L,Pts: 2x0,Pan American,88KG,F,2016
Claudio Calasans,L,Kneebar,World Pro,85KG,SF,2016
Leandro Lo,L,Pts: 5x0,World Champ.,88KG,F,2016
Erberth Santos,L,Pts: 11x2,World Champ.,ABS,1/4F,2016
Yuri Simoes,L,Referee Decision,Berkut 3,ABS,SPF,2016
Unknown,W,North south choke,Grapplers Quest,NA,NA,2005
Joao Faria,W,Armbar,Pan American,88KG,1/4F,2006
Joao Oliveira,W,Kimura,World Champ.,88KG,1/4F,2006
Demian Maia,W,Brabo choke,Brasileiro,88KG,SF,2006
Fabio Trindade,W,Cross choke,Brasileiro,88KG,F,2006
Alexandre Souza,W,Referee Decision,Brasileiro,88KG,F,2007
F. Sabatini,W,Cross ck. f/ mount,Pan American,88KG,1/4F,2007
Marcel Louzado,W,Points,Pan American,88KG,SF,2007
Tarsis Humphreys,W,Pts: 2x2, Adv,Pan American,88KG,F,2007
Rafael Lovato,W,Points,Pan American,ABS,SF,2007
Tarsis Humphreys,W,Pts: 6x6, Adv,Pan American,ABS,F,2007
Thales Leite,W,Points,ADCC Trials,88KG,1/4F,2007
Travers Grubb,W,Points,ADCC,88KG,R1,2007
Chris Moriarty,W,Heel hook,ADCC,88KG,1/4F,2007
Rogel Monsalve,W,Flying triangle,World Champ.,88KG,1/4F,2007
Joao Felipe,W,Cross ck. f/ mount,World Champ.,88KG,SF,2007
Saulo Ribeiro,W,Pts: 6x0,World Champ.,88KG,F,2007
Uematsu Naoya,W,Choke from back,World Champ.,ABS,R1,2007
Luis Theodoro,W,Cross choke,World Champ.,ABS,1/4F,2007
Alexandre Ribeiro,W,Pts: 0x0, Adv,World Champ.,ABS,SF,2007
Cameron Diffley,W,Cross choke,Pan American,88KG,1/4F,2009
Unknown,W,Cross choke,Pan American,ABS,1/8F,2009
Roberto Abreu,W,Pts: 3x0,Pan American,ABS,1/4F,2009
Denis Roberts,W,Kneebar,ADCC,O99KG,R1,2009
Eduardo Santoro,W,Pts: 6x0,World Champ.,88KG,1/4F,2009
Victor Estima,W,Choke,World Champ.,88KG,SF,2009
Tarsis Humphreys,W,Referee Decision,World Champ.,88KG,F,2009
Jared Nathason,W,Kimura,NoGi Worlds,88KG,1/4F,2009
Paulo Azambuja,W,Brabo choke,World Champ.,88KG,R1,2010
Jared Nathanson,W,Knee on belly,World Champ.,88KG,R2,2010
Murilo Santana,W,Points,World Champ.,88KG,1/4F,2010
Gustavo Campos,W,Cross choke,World Champ.,88KG,SF,2010
Diego Herzog,W,Choke,World Champ.,ABS,R1,2010
Bernardo Faria,W,Triangle,World Champ.,ABS,1/4F,2010
Alexandre Ribeiro,W,Pts: 0x0, Adv,World Champ.,ABS,SF,2010
Tarsis Humphreys,W,Pts: 3x0,World Pro.,83KG,1/4F,2011
Zak Maxwell,W,Pts: 7x4,World Champ.,ABS,R2,2011
Unknown,W,Submission,World Champ.,88KG,RDS,2011
Unknown,W,Submission,World Champ.,88KG,RDS,2011
Eduardo Telles,W,Pts: 2x2, Adv,World Champ.,88KG,1/4F,2011
Eduardo Santoro,W,Pts: 5x0,World Champ.,88KG,SF,2011
Kevin Casey,W,Points,SD World Trials,92KG,SF,2012
Paulinho Bara̼na,W,Pts: 17x2,Brasileiro,88KG,1/4F,2012
Alexandre Ceconi,W,Referee Decision,Brasileiro,ABS,R1,2012
Tatsuya Kondo,W,Submission,World Champ.,ABS,R2,2012
Diego Hertzog,W,Points,World Champ.,ABS,R2,2012
Gabriel Rocha,W,Choke,World Champ.,88KG,R1,2012
Marcos Souza,W,Points,World Champ.,88KG,R2,2012
Diego Hertzog,W,Pts: 4x2,World Champ.,88KG,1/4F,2012
Rafael Lovato,W,Pts: 5x2,World Champ.,88KG,SF,2012
Diogo Sampaio,W,Cross ck. f/ mount,World Champ.,88KG,F,2012
Raul Castillo,W,Pts: 21x0,IBJJF Pro League,94KG,1/4F,2012
Otavio Sousa,W,Armbar,IBJJF Pro League,94KG,SF,2012
Andre Galvao,W,Referee Decision,IBJJF Pro League,94KG,F,2012
Gesse Filho,W,Inverted armbar,Rio Open,88KG,1/4F,2012
Rodrigo Fajardo,W,Cross choke,Rio Open,88KG,F,2012
Abdelhakim Gouram,W,DQ,Rio Open,ABS,1/4F,2012
Igor Silva,W,Cross ck. f/ mount,Rio Open,ABS,F,2012
Unknown,W,Pts: 26x0,NoGi Worlds,88KG,1/4F,2012
Felipe Bobrick,W,RNC,NoGi Worlds,88KG,SF,2012
Marcel Gonclaves,W,Points,Miami Pro Trials,85KG,NA,2013
Rodrigo Fajardo,W,Cross ck. f/ mount,European Open,88KG,F,2013
Matt Jubera,W,Points,Pan American,88KG,R1,2013
Abmar Barbosa,W,Cross choke,Pan American,88KG,R2,2013
Gustavo Campos,W,Pts: 3x0,World Champ.,88KG,SF,2013
Kim Dong,W,Kneebar,ADCC,88KG,R1,2013
Lucas Leite,W,Points,ADCC,88KG,1/4F,2013
Keenan Cornelius,W,Points,ADCC,88KG,SF,2013
Rafael Lovato,W,Points,ADCC,88KG,F,2013
Nivaldo Oliveira,W,Kimura,World Pro.,88KG,1/4F,2014
Marcus Vinicius,W,Cross choke,World Pro.,88KG,SF,2014
Adeildo Jos̩ Silva,W,Choke,World Champ.,88KG,RDS,2014
Abmar Barbosa,W,Submission,World Champ.,88KG,1/4F,2014
Gustavo Campos,W,DQ,World Champ.,88KG,SF,2014
Craig Jones,W,Kimura,ADCC,88KG,R1,2015
Nieman Gracie,W,Kimura,ADCC,88KG,1/4F,2015
Martin Aedma,W,Kimura,European Open,88KG,R1,2016
Josh Hinger,W,Cross ck. f/ mount,European Open,88KG,1/4F,2016
Diogo Sampaio,W,Cross ck. f/ mount,European Open,88KG,SF,2016
Andreas Perales,W,Cross ck. f/ mount,European Open,ABS,R1,2016
Daniel Cobb,W,Cross choke,European Open,ABS,R2,2016
Patrick Gaudio,W,Cross choke,European Open,ABS,1/4F,2016
Jackson Sousa,W,Choke from back,European Open,ABS,SF,2016
Pedro Mello,W,Choke,Pan American,88KG,1/8F,2016
Ruan Oliveira,W,Cross choke,Pan American,88KG,1/8F,2016
Pedro Mello,W,Choke,Pan American,88KG,1/4F,2016
Murilo Santana,W,Pts: 4x2,Pan American,88KG,SF,2016
Romario Martins,W,Armlock,World Pro,85KG,R1,2016
Arturi Salas,W,Pts: 14x0,World Pro,85KG,1/8F,2016
Igor Sousa,W,Cross choke,World Pro,85KG,1/4F,2016
Vicente Cavalcanti,W,Cross choke,World Champ.,88KG,1/8F,2016
Murilo Santana,W,Pts: 2x0,World Champ.,88KG,1/4F,2016
Patrick Gaudio,W,Cross choke,World Champ.,88KG,SF,2016
Nathan Mendlesohn,W,Choke,World Champ.,ABS,R2,2016
Igor Silva,W,Cross choke,World Champ.,ABS,1/8F,2016
