Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcelo Boc̣o,L,Points,ADCC Trials,66KG,1/8F,2007
Rafael Lovato,L,Pts: 4x2,World Champ.,ABS,R2,2008
Rafael Mendes,L,Points,World Pro.,65KG,F,2009
Otavio Sousa,L,Pts: 2x2, Adv,Pan American,ABS,SF,2009
Rafael Mendes,L,Points,ADCC,66KG,F,2009
Rafael Mendes,L,Pts: 4x2,Brasileiro,70KG,F,2010
Rafael Mendes,L,Pts: 4x4, Adv,World Champ.,70KG,F,2010
Celso Vinicius,L,Referee Decision,World Pro.,74KG,SF,2011
Rodolfo Vieira,L,Choke from back,World Pro.,ABS,F,2011
Augusto Mendes,L,Pts: 4x2,World Champ.,70KG,SF,2011
Rafael Mendes,L,Pen,ADCC,66KG,F,2011
James Harbison,L,Referee Decision,No Gi Worlds,ABS,1/4F,2011
Rafael Mendes,L,Armbar,Pan American,70KG,F,2012
Rafael Mendes,L,Referee Decision,World Champ.,70KG,F,2012
Rafael Mendes,L,Referee Decision,Pan American,70KG,F,2013
Augusto Mendes,L,Pts: 2x0,World Pro,70KG,F,2013
Augusto Mendes,L,Pts: 2x0,World Champ.,70KG,SF,2013
Rafael Mendes,L,Pts: 10x8,World Champ.,70KG,F,2014
Rafael Mendes,L,Pts: 6x0,World Champ.,70KG,F,2015
Marcio Andre,L,Pts: 7x6,World Champ.,70KG,SF,2016
Felipe Vidal,W,Pts: 4x0,World Cup,70KG,F,2005
Ocimar Santos,W,Brabo choke,World Champ.,70KG,R1,2006
T. Sato,W,Choke from back,World Champ.,70KG,R2,2006
Jonatas Gurgel,W,Choke,World Champ.,70KG,1/4F,2006
Bruno Frazatto,W,Toe hold,World Champ.,70KG,SF,2006
Marcio Feitosa,W,Pts: 8x0,World Champ.,70KG,F,2006
Peter Han,W,N/A,Pan American,70KG,R1,2007
Wilson Reis,W,Pts: 2x0,Pan American,70KG,1/4F,2007
Wellington Dias,W,Points,Pan American,70KG,SF,2007
Mario Reis,W,Pts: 2x0,Pan American,70KG,F,2007
Jason Tabor,W,Choke from back,World Champ.,70KG,R1,2007
Augusto Mendes,W,Choke from back,World Champ.,70KG,1/4F,2007
Bruno Frazatto,W,Points,World Champ.,70KG,SF,2007
Mario Reis,W,Bow and arrow,World Champ.,70KG,F,2007
Renan Borges,W,RNC,World NoGi,70KG,1/4F,2007
Magno Gama,W,Darce choke,World NoGi,70KG,SF,2007
Shane Rice,W,Points,World NoGi,70KG,F,2007
Jose Augusto,W,DQ,World Champ.,70KG,R1,2008
Scott DeWitt,W,Bow and arrow,World Champ.,70KG,1/4F,2008
Theodoro Canal,W,Cross choke,World Champ.,70KG,SF,2008
Bruno Frazatto,W,Toe hold,World Champ.,70KG,F,2008
Karel Pravec,W,Triangle,NoGi Pan Am.,70KG,SF,2008
Daniel Aguiar,W,RNC,NoGi Pan Am.,70KG,F,2008
R. Hall,W,RNC,World Cup Pro,70KG,NA,2008
Karl Pravec,W,Triangle,NoGi Worlds,76KG,1/4F,2008
C. Cardoso,W,RNC,NoGi Worlds,76KG,SF,2008
Jeff Glover,W,Pts: 0x0, Adv,NoGi Worlds,76KG,F,2008
Jonathan Torres,W,Armbar,All Star Pro,72KG,R2,2008
Bruno Tostes,W,Heel hook,All Star Pro,72KG,SF,2008
J. Rader,W,Pts: 2x0,All Star Pro,72KG,F,2008
Michel Maia,W,Points,Capital Challenge,70KG,SF,2008
Rafael Mendes,W,Points,Capital Challenge,70KG,F,2008
Marcio Livio,W,Armbar,World Pro.,65KG,R1,2009
Guilherme Mendes,W,Choke from back,World Pro.,65KG,1/4F,2009
Tiago Fernandes,W,Choke from back,World Pro.,65KG,SF,2009
Renan Borges,W,Armbar,Pan American,70KG,1/4F,2009
Rafael Mendes,W,DQ,Pan American,70KG,SF,2009
Mario Reis,W,Bow and arrow,Pan American,70KG,F,2009
Abmar Barbosa,W,Choke from back,Pan American,ABS,1/8F,2009
Rafael Lovato,W,Pts: 2x0,Pan American,ABS,1/4F,2009
Hiroshi Nakamura,W,Armbar,ADCC,66KG,R1,2009
Joel Tudor,W,RNC,ADCC,66KG,1/4F,2009
Rany Yahya,W,Kimura,ADCC,66KG,SF,2009
Wellington Dias,W,Choke from back,World Champ.,70KG,1/4F,2009
Rafael Mendes,W,Referee Decision,World Champ.,70KG,SF,2009
Bruno Frazatto,W,Referee Decision,World Champ.,70KG,F,2009
Gustavo Carpio,W,Choke from back,Pan American,70KG,1/4F,2010
Renan Borges,W,Choke from back,Pan American,70KG,SF,2010
Marcelino Freitas,W,Pts: 3x0,Pan American,70KG,F,2010
Flavio Meier,W,Armbar,World Champ.,70KG,R1,2010
Yukinori Sasa,W,Choke from back,World Champ.,70KG,R2,2010
Theodoro Canal,W,Omoplata,World Champ.,70KG,1/4F,2010
Mario Reis,W,Choke from back,World Champ.,70KG,SF,2010
Claudio Calasans,W,Pts: 4x2,World Pro.,ABS,1/4F,2011
Itaro Andrade,W,Choke,World Champ.,70KG,RDS,2011
Unknown,W,Choke,World Champ.,70KG,RDS,2011
Ed Ramos,W,Pts: 3x0,World Champ.,70KG,1/4F,2011
David Marinakis,W,Triangle,ADCC,66KG,R1,2011
Baret Yoshida,W,Points,ADCC,66KG,1/4F,2011
Jeff Glover,W,Pts: 6x0,ADCC,66KG,SF,2011
Marco Macera,W,Points,No Gi Worlds,ABS,R2,2011
Renan Borges,W,RNC,No Gi Worlds,70KG,SF,2011
Justin Rader,W,Adv,No Gi Worlds,70KG,F,2011
Y. Nakatsuka,W,Cross Choke,Pan American,70KG,1/8F,2012
David Lemes,W,Collar Choke,Pan American,70KG,1/4F,2012
Mike Fowler,W,Bow and arrow,Pan American,70KG,SF,2012
Mario Yokoyama,W,Points,World Champ.,70KG,R2,2012
Edson de Oliveira,W,Choke from back,World Champ.,70KG,R3,2012
Eduardo da Silva,W,Pts: 6x2,World Champ.,70KG,1/4F,2012
Leonardo Saggioro,W,Choke from back,World Champ.,70KG,SF,2012
M. Borges,W,Armbar,NoGi Worlds,70KG,SF,2012
Justin Rader,W,Adv,NoGi Worlds,70KG,F,2012
Osvaldo Moizinho,W,Inverted triangle,European Open,70KG,SF,2013
Augusto Mendes,W,Pts: 2x0,European Open,70KG,F,2013
Jordan Collins,W,Omoplata,Pan American,70KG,R1,2013
Samir Chantre,W,Choke,Pan American,70KG,1/4F,2013
Augusto Mendes,W,Points,Pan American,70KG,SF,2013
Marcel Goncalves,W,Points,World Pro,ABS,R1,2013
Theodoro Canal,W,Points,World Champ.,70KG,1/4F,2013
D. Hemmings,W,RNC,ADCC,66KG,R1,2013
Marcio Andre,W,Pts: 3x0,ADCC,66KG,1/4F,2013
Justin Rader,W,Points,ADCC,66KG,SF,2013
Rafael Mendes,W,Referee Decision,ADCC,66KG,F,2013
Robson Barbosa,W,Points,World Champ.,70KG,RDS,2014
Mario Silva,W,N/A,World Champ.,70KG,RDS,2014
Italo Lins,W,Armbar,World Champ.,70KG,1/4F,2014
Isaque Paiva,W,Pts: 24x2,World Champ.,70KG,SF,2014
Italo Lins,W,Armbar,World Champ.,70KG,1/8F,2015
Osvaldo Moizinho,W,Pts: 3x0,World Champ.,70KG,1/4F,2015
Tezekbaev Rasul,W,RNC,ADCC,66KG,R1,2015
Gianni Grippo,W,Pts: 3x0,ADCC,66KG,1/4F,2015
Augusto Mendes,W,Referee Decision,ADCC,66KG,SF,2015
Bruno Frazatto,W,Pts: 3x0,ADCC,66KG,F,2015
Sergio Gonzalez,W,Choke,World Champ.,70KG,R2,2016
Samir Chantre,W,Pts: 7x0,World Champ.,70KG,1/4F,2016
