Opponent,W/L,Method,Competition,Weight,Stage,Year
Jeff Monson,L,N/A,10k Challenge,ABS,GP,2007
Alan Finfou,L,Adv,European Open,82KG,F,2008
Gustavo Campos,L,Kneebar,Pan American,82KG,F,2008
Braga Neto,L,Adv,Brasileiro,ABS,1/4F,2008
Alan Finfou,L,Pts: 2x0,Brasileiro,82KG,F,2008
Bill Cooper,L,Kneebar,World Champ.,82KG,SF,2008
Braulio Estima,L,Armbar,Capital Challenge,88KG,F,2008
Alan Finfou,L,Points,European,88KG,F,2009
Braga Neto,L,Pts: 3x0,Pan American,ABS,F,2009
Tarsis Humphreys,L,Footlock,World Champ.,88KG,SF,2009
Marcel Fortuna,L,Pts: 3x0,Pan American,ABS,R2,2010
Eduardo Telles,L,Pts: 10x10, Adv,World Champ.,ABS,1/4F,2010
Eduardo Santoro,L,Adv,Pan American,88KG,SF,2011
Gustavo Junqueira,L,Pts: 2x0,World Champ.,88KG,RDS,2011
Rafael Lovato,L,Pts: 4x0,No Gi Worlds,88KG,SF,2011
Clark Gracie,L,Pts: 2x0,Pan American,82KG,1/4F,2012
Felipe Pregui̤a,L,Pts: 4x4, Adv,Copa Podio,85KG,GP,2012
Rafael Barbosa,L,Pts: 2x0,Copa Podio,85KG,GP,2012
Dimitrius Souza,L,Pts: 2x0,Copa Podio,85KG,GP,2012
Kron Gracie,L,Armbar,Metamoris,ABS,SPF,2012
Romulo Barral,L,Armbar,IBJJF Pro League,94KG,SF,2012
Clark Gracie,L,Points,Pan American,82KG,1/4F,2013
Kron Gracie,L,Guillotine,ADCC,77KG,F,2013
Leandro Lo,L,Adv,Pan American,82KG,F,2014
Lucas Lepri,L,Pts: 4x0,WP Montreal,ABS,F,2014
Andre Galvao,L,Pts: 2x0,World Pro.,ABS,1/4F,2014
Leandro Lo,L,Points,World Pro.,82KG,SF,2014
Leandro Lo,L,Pts: 9x6,World Champ.,82KG,F,2014
Francisco Iturralde,L,Pts: 2x0,IBJJF Pro League,82KG,SF,2014
Alexander Trans,L,Points,Pan American,ABS,1/4F,2015
Leandro Lo,L,Pts: 5x2,Pan American,82KG,F,2015
Vitor Oliveira,L,Pts: 2x0,World Champ.,82KG,SF,2015
Keenan Cornelius,L,Pts: 4x0,FIVE SL,ABS,SPF,2015
Lucas Lepri,L,Pts: 4x0,ADCC,77KG,SF,2015
Gilbert Burns,L,Pts: 6x0,ADCC,77KG,3RD,2015
DJ Jackson,L,Referee Decision,NoGi Worlds,82KG,SF,2015
Yago Souza,L,Pts: 6x4,Pan American,82KG,SF,2016
Gabriel Arges,L,Pts: 2x0,Grand Slam - LA,85KG,F,2016
Helio Perdigao,W,Pts: 4x0,10k Challenge,ABS,GP,2007
Nicolas Gregoriades,W,Kneebar,10k Challenge,ABS,GP,2007
Adriano Silva,W,Pts: 2x0,Pan American,82KG,SF,2008
Gustavo Campos,W,Kneebar,World Champ.,82KG,1/4F,2008
Tarsis Humphreys,W,Points,Capital Challenge,88KG,SF,2008
Jimmy Tang,W,Cross ck. f/ mount,Pan American,88KG,1/8F,2009
Felipe Fogolin,W,Armbar,Pan American,88KG,1/4F,2009
Nivaldo Oliveira,W,Adv,Pan American,88KG,SF,2009
Lucas Leite,W,Pts: 4x0,Pan American,ABS,1/4F,2009
Rubens Charles,W,Pts: 2x2, Adv,Pan American,ABS,SF,2009
Marcello Salazar,W,Pts: 2x0,World Champ.,88KG,1/4F,2009
Cameron Diffley,W,Points,Pan American,88KG,R1,2010
Cameron Apple,W,Shoulder pressure,Pan American,88KG,1/4F,2010
Jason Ebarb,W,Wristlock,Pan American,88KG,SF,2010
Andre Freitas,W,Pts: 7x0,Pan American,88KG,F,2010
Frost Murphy,W,Cross choke f. mount,Pan American,ABS,R1,2010
Erik Anderson,W,Submission,No Gi Worlds,88KG,1/4F,2011
Brent Primus,W,Points,Pan American,82KG,R2,2012
Leandro Lo,D,---,Copa Podio,85KG,GP,2012
Rafael Barbosa,W,Ezekiel,NYC Open,82KG,SF,2012
Clark Gracie,W,Points,NYC Open,82KG,F,2012
Rafael Rosendo,W,Wristlock,NYC Open,ABS,SF,2012
Rafael Barbosa,W,Choke,NYC Open,ABS,F,2012
Michael Pinheiro,W,Choke from mount,World Champ.,82KG,R2,2012
Luis Gustavo,W,Choke from back,World Champ.,82KG,1/8F,2012
Clark Gracie,W,Points,World Champ.,82KG,1/4F,2012
Lucas Leite,W,Pts: 6x4,World Champ.,82KG,SF,2012
Claudio Calasans,W,Pts: 6x6, Pen,World Champ.,82KG,F,2012
John Carlquist,W,Choke,IBJJF Pro League,94KG,1/4F,2012
Nic Ruben,W,Bow and arrow,Pan American,82KG,R2,2013
Davi Ramos,W,Pts: 6x2,World Champ.,82KG,1/4F,2013
Vitor Oliveira,W,Armbar,World Champ.,82KG,SF,2013
Claudio Calasans,W,Pts: 4x2,World Champ.,82KG,F,2013
Youngnam Noh,W,RNC,ADCC,77KG,R1,2013
Ben Henderson,W,Omoplata,ADCC,77KG,1/4F,2013
Leonardo Vieira,W,Points,ADCC,77KG,SF,2013
Matt Jubera,W,Brabo choke,Pan American,82KG,R1,2014
Leo Iturralde,W,Points,Pan American,82KG,1/4F,2014
Tanner Rice,W,Pts: 9x0,WP Montreal,85KG,NA,2014
Leo Saggioro,W,Pts: 4x2,WP Montreal,ABS,1/4F,2014
Gianni Grippo,W,Pts: 0x0, Adv,WP Montreal,ABS,SF,2014
Alexander Trans,W,Pts: 0x0, Adv,World Pro.,ABS,R1,2014
Kit Dale,W,Pts: 7x2,World Pro.,82KG,R1,2014
Brian Beaury,W,Armbar,World Pro.,82KG,1/4F,2014
Caio Almeida,W,Pts: 2x0,World Champ.,82KG,RDS,2014
Israel Reyes,W,Armbar,World Champ.,82KG,RDS,2014
Vitor Oliveira,W,Pts: 4x2,World Champ.,82KG,1/4F,2014
Alan Finfou,W,Armbar,World Champ.,82KG,SF,2014
AJ Agazarm,W,Choke from back,NYC Pro,82KG,SF,2014
Vitor Oliveira,W,Choke from back,NYC Pro,82KG,F,2014
Evandro Nunes,W,Pts: 10x0,Pan American,ABS,R2,2015
Kitner Moura,W,Injury,Pan American,ABS,R3,2015
Thabet al Taher,W,Omoplata,Pan American,82KG,R1,2015
Marcos Tinoco,W,Pts: 4x4, Adv,Pan American,82KG,R3,2015
Victor Silverio,W,Referee Decision,Pan American,82KG,1/4F,2015
Vitor Oliveira,W,Pts: 2x0,Pan American,82KG,SF,2015
Luca Anacoreta,W,Cross ck. f/ mount,World Champ.,82KG,1/8F,2015
Jaime Canuto,W,Pts: 0x0, Adv,World Champ.,82KG,1/4F,2015
AJ Agazarm,W,RNC,ADCC,77KG,R1,2015
Vagner Rocha,W,Referee Decision,ADCC,77KG,1/4F,2015
Mansher Khera,W,Pts: 11x0,NoGi Pan Ams,82KG,SF,2015
Marcelo Mafra,W,Pts: 2x2, Adv,NoGi Pan Ams,82KG,F,2015
Dustin Akbari,W,Omoplata,NoGi Worlds,82KG,1/8F,2015
Rodrigo Caporal,W,Advantages,NoGi Worlds,82KG,1/4F,2015
Kevin Mahecha,W,Pts: 2x0,IBJJF NY Pro,82KG,SF,2015
Victor Silverio,W,Pts: 2x2, Adv,IBJJF NY Pro,82KG,F,2015
Youngam Noh,W,Pts: 7x0,Pan American,82KG,R1,2016
Ken Primola,W,Choke from back,Pan American,82KG,1/8F,2016
Jaime Canuto,W,Pts: 2x0,Pan American,82KG,1/4F,2016
Rafael Rosendo,W,N/A,Atlanta BJJ Pro,82KG,1/4F,2016
Jaime Canuto,W,Armbar,Atlanta BJJ Pro,82KG,F,2016
Santeri Lilius,W,Choke from back,World Champ.,82KG,R2,2016
Jonathan Satava,W,Pts: 10x0,World Champ.,82KG,1/8F,2016
Dillon Danis,W,Pts: 4x0,World Champ.,82KG,1/4F,2016
Yago Souza,W,Pts: 9x2,World Champ.,82KG,SF,2016
Stephen Hergett,W,Cross choke,Grand Slam - LA,85KG,1/4F,2016
Sergio Rios,W,Armbar,Grand Slam - LA,85KG,SF,2016
Gabriel Arges,W,Botinha,BJJ Pro LA,82KG,SF,2016
Nathan Mendelsohn,W,Triangle,BJJ Pro LA,82KG,F,2016
