Opponent,W/L,Method,Competition,Weight,Stage,Year
Rodrigo Freitas,W,Pts: 2x0,No Gi Worlds,73KG,F,2014
Kevin Mahecha,W,Pts: 7x5,NYC Pro,82KG,1/4F,2014
Oliver Geddes,W,Triangle armbar,Polaris,ABS,SPF,2015
Ruben Dario,W,Toe hold,World Pro Trials,86KG,1/4F,2015
Kevin Mahecha,W,Points,World Pro Trials,86KG,SF,2015
Unknown,W,Choke,World Pro Trials,ABS,SF,2015
Choi Choi,W,Pts: 14x0,European,76KG,R2,2015
Eduardo Telles,W,Points,Pan American,ABS,R1,2015
Luan Carvalho,W,Pts: 2x2, Adv,Pan American,76KG,R2,2015
Kevin Mahecha,W,Points,Pan American,76KG,1/4F,2015
Gabriel Rollo,W,Pts: 2x0,Pan American,76KG,SF,2015
Rich Ryu,W,Triangle armbar,Ohio Challenge,ABS,1/4F,2015
Paulo Santana,W,Toe hold,Ohio Challenge,ABS,SF,2015
BJ Nelson,W,Pts: 10x0,Ohio Challenge,ABS,F,2015
Ygor Dantas,W,Points,World Pro,75KG,R1,2015
Alex Cabanes,W,Points,World Pro,75KG,R2,2015
Yao Nkromah,W,Toe hold,ADCC Trials,77KG,R1,2015
Richie Martinez,W,Toe hold,ADCC Trials,77KG,1/8F,2015
Karo Parisyan,D,---,Metamoris UG,ABS,SPF,2015
Daniel Strauss,D,---,Polaris 2,94KG,SPF,2015
Jake Shields,D,---,Polaris 3,82KG,SPF,2016
Kevin Mahecha,W,Pts: 2x0,World Pro,77KG,R1,2016
Carlos Costa,W,Kimura/armbar,World Pro,77KG,R2,2016
Felipe Cesar,W,Pts: 2x0,World Pro,77KG,1/8F,2016
Davi Ramos,W,Pts: 2x0,World Pro,77KG,1/4F,2016
Pedro Henrique,W,Submission,Brasileiro,76KG,R1,2016
Robson Borges,W,Armbar,Brasileiro,76KG,1/8F,2016
Marat Gafurov,W,Referee Decision,Berkut 3,ABS,SPF,2016
Itụ Sales,W,Choke,Brasileiro Equipes,76KG,F,2016
Vagner Rocha,W,DQ,F2W Pro 14,77KG,SPF,2016
Ikuhisa Minowa,W,Triangle,Polaris 4,80KG,SPF,2016
Andreas Perales,W,Armbar,NoGi Worlds,73KG,R2,2016
Enrico Cocco,W,Pts: 2x0,NoGi Worlds,73KG,1/4F,2016
