Opponent,W/L,Method,Competition,Weight,Stage,Year
R. Evangelista,W,Guillotine,World Pro,O95KG,SF,2015
Alexander Trans,W,Pts: 2x0,World Pro,O95KG,F,2015
Helcio Pinto,W,Guillotine,World Pro,ABS,R1,2015
Erberth Santos,W,Estima lock,World Pro,ABS,R2,2015
Leandro Lo,W,Pts: 2x2, Adv,World Pro,ABS,SF,2015
Alexander Trans,W,Pts: 0x0, Adv,World Pro,ABS,F,2015
Gabriel Checco,W,Estima lock,JJ World League,ABS,SPF,2015
Alan Regis,W,Armbar,World Champ.,ABS,R1,2015
Joao Rocha,W,Armbar,World Champ.,O100KG,SF,2016
James Puopolo,W,Armbar,World Champ.,O100KG,F,2016
Elliot Kelly,W,Pts: 6x0,World Champ.,ABS,R2,2016
Pedro Moura,W,Armbar,World Champ.,ABS,1/8F,2016
Felipe Pena,W,Armbar,World Champ.,ABS,1/4F,2016
Erberth Santos,W,Pts: 4x2,World Champ.,ABS,F,2016
Bruno Bastos,W,Bow and arrow,IBJJF Pro GP,ABS,1/4F,2016
Joao Rocha,W,Pts: 7x0,IBJJF Pro GP,ABS,SF,2016
Leo Nogueira,W,Pts: 0x0, Adv,IBJJF Pro GP,ABS,F,2016
Eliot Marshal,W,Inverted triangle,F2W + MP,ABS,SPF,2016
