Winner,Looser,Method,Weight Division,RDS
Murilo Santana,Lucas Barbosa,Pts,88KG,1/8F
Tarsis Humphreys,Ruan Oliveira,Pts,88KG,1/8F
Matheus Diniz,Manny Diaz,Pts,88KG,1/8F
Patrick Gaudio,Steve Patterson,,88KG,1/8F
Leandro Lo,Charles Negromonte,,88KG,1/8F
Renato Cardoso,Giacomo Zanini,Submission,88KG,1/8F
Keenan Cornelius,Tanner Rice,Submission,88KG,1/8F
Leandro Lo,Matheus Diniz,Pts,88KG,1/4F
Patrick Gaudio,Tarsis Humphreys,Advantage,88KG,1/4F
Romulo Barral,Murilo Santana,Pts,88KG,1/4F
Keenan Cornelius,Renato Cardoso,Pts,88KG,1/4F
Romulo Barral,Patrick Gaudio,Submission,88KG,SF
Leandro Lo,Keenan Cornelius,Pts,88KG,SF
Jackson Sousa,Diego Gamonal,Submission,94KG,R1
Arnaldo Maidana,Dimitrius Souza,Advantage,94KG,R1
Felipe Pena,Eduardo Inojosa,,94KG,R1
Andre Galvao,Felipe Mota,,94KG,R1
Andre Galvao,Lucas Rocha,Penalties,94KG,1/4F
Cassio Francis,Dimitrius Souza,Advantages,94KG,1/4F
Jackson Sousa,Felipe Pena,Pts,94KG,1/4F
Guilherme Augusto,Erberth Santos,Pts,94KG,1/4F
Jackson Sousa,Guilherme Augusto,Pts,94KG,SF
Andre Galvao,Cassio Francis,Pts,94KG,SF
Leo Nogueira,Wellington Peroto,,100KG,R1
Igor Silva,Pedro Araujo,Advantage,100KG,R1
Rodrigo Cavaca,Felipe Bueno,,100KG,R1
Leo Nogueira,Vitor Toledo,Pts,100KG,1/4F
Igor Silva,Rodrigo Cavaca,Pts,100KG,1/4F
Luiz Panza,Paul Ardilla,Submission,100KG,1/4F
Leo Nogueira,Luiz Panza,Pts,100KG,SF
Andre Galvao,Cassio Francis,Advantage,100KG,SF
James Puopolo,Mahamad Aly,Pts,O100KG,R1
Ricardo Evangelista,Kitner Moura,Pts,O100KG,R1
Gustavo Elias,Dany Gerard,Ref. Decision,O100KG,R1
Joao Rocha,Pedro Moura,,O100KG,1/4F
Joao Rocha,Alexander Trans,Ref. Decision,O100KG,1/4F
James Puopolo,Carlos Farias,Pts,O100KG,1/4F
Ricardo Evangelista,Otavio Natali,Pts,O100KG,1/4F
Marcus Almeida,Joao Gabriel,Submission,O100KG,SF
James Puopolo,Ricardo Evangelista,Pts,O100KG,SF
