Opponent,W/L,Method,Competition,Weight,Stage,Year
Jack MaGee,W,Submission,Sub 1000 II,ABS,1/4F,2011
Kenny Baker,W,Referee Decision,Sub 1000 II,ABS,SF,2011
Daniel Strauss,W,Kneebar,Sub 1000 II,ABS,F,2011
Nic Gregoriades,W,Pts: 14x0,Ground Control,ABS,SPF,2011
Junior Eladio,W,RNC,TUFF,ABS,SF,2012
Luke Costello,W,Points,TUFF,ABS,F,2012
