Opponent,W/L,Method,Competition,Weight,Stage,Year
Tarsis Humphreys,W,Pts: 2x0,World Champ.,94KG,SF,2008
Alexandre Souza,W,Pts: 3x2,World Champ.,94KG,F,2008
Hugo Carioni,W,Armbar,World Champ.,ABS,R1,2008
Raul Castillo,W,Choke,World Champ.,ABS,R2,2008
Braga Neto,W,Ezekiel,World Champ.,ABS,1/4F,2008
Gabriel Vella,W,Points,World Champ.,ABS,SF,2008
Roger Gracie,W,Pts: 4x2,World Champ.,ABS,F,2008
Ilir Latifi,W,Points,ADCC,99KG,R1,2009
Radek Turek,W,RNC,ADCC,99KG,1/4F,2009
Vinny Magalhaes,W,Points,ADCC,99KG,SF,2009
Gerardi Rinaldi,W,Pts: 3x0,ADCC,99KG,F,2009
Ricco Rodriguez,W,Armbar,ADCC,ABS,R1,2009
Andre Galvao,W,Points,ADCC,ABS,1/4F,2009
Gunnar Nelson,W,Kneebar,ADCC,ABS,SF,2009
Leonardo Neves,W,N/A,World Champ.,94KG,R2,2010
Dan Simmler,W,Ezekiel,World Champ.,94KG,1/4F,2010
Alexandre Souza,W,Triangle,World Champ.,94KG,SF,2010
Leo Nogueira,W,Adv,World Champ.,ABS,1/4F,2010
Chris Moriarity,W,Guillotine,GQ WBG,ABS,1/4F,2010
Amir Allam,W,Pts: 9x0,GQ WBG,ABS,SF,2010
Unknown,W,N/A,World P. NoGi,O92KG,N/A,2011
Jose Junior,W,Pts: 5x2,World P. NoGi,O92KG,F,2011
Kari Petola,W,Pts: 5x0,ADCC,99KG,R1,2011
Lucio Lagarto,W,RNC,ADCC,99KG,1/4F,2011
Antonio Peinado,W,Pts: 4x0,ADCC,99KG,3PLC,2011
Jeff Monson,W,DQ,ADCC,ABS,R1,2011
Gunnar Nelson,W,Pts: 2x0,ADCC,ABS,1/4F,2011
Murilo Santana,W,Pts: 2x0,ADCC,ABS,3PLC,2011
Romulo Barral,W,Pts: 2x0,SD World Trials,92KG,F,2012
Ryan Sosa,W,Armbar,SD World Trials,ABS,1/4F,2012
Mike Fowler,W,Cross choke,SD World Trials,ABS,SF,2012
Andre Galvao,W,Pts: 4x4, Adv,SD World Trials,ABS,F,2012
Antonio Carlos,W,Armbar,World Pro.,99KG,SF,2012
Bernardo Faria,W,Pts: 2x0,World Pro.,99KG,F,2012
Ryan Beaugeard,W,Pts: 0x0, Adv,World Champ.,ABS,R2,2012
Adriano Ignacio,W,Armbar,World Champ.,ABS,R2,2012
Eduardo Silva,W,Choke from Back,World Champ.,94KG,R2,2012
Yuri Simoes,W,Pts: 3x0,World Champ.,94KG,1/4F,2012
