Opponent,W/L,Method,Competition,Weight,Stage,Year
Jeffrey Cummings,W,Ankle lock,Atlanta No Gi,76KG,F,2015
Mayko Ara̼jo,W,Pts: 18x0,Dallas Open,70KG,1/4F,2015
Lucas Pinheiro,W,Pts: 4x3, Adv,Dallas Open,70KG,SF,2015
Ashley Williams,W,Pts: 4x2,Dallas NoGi Open,70KG,1/4F,2015
Mayko Ara̼jo,W,Triangle,Dallas NoGi Open,70KG,SF,2015
Joao Somalia,W,Pts: 0x0, Adv,Dallas NoGi Open,70KG,F,2015
Ed Ramos,W,Referee Decision,Grand Slam LA,69KG,1/4F,2015
Vitor Paschoal,W,Pts: 2x0,Grand Slam LA,69KG,SF,2015
Rafael Freitas,W,Armbar,NoGi Worlds,64KG,SF,2015
Jose Alvarez,W,Pts: 14x0,Irvine Open,70KG,SF,2015
Richard Slomba,W,Pts: 2x2, Adv,Irvine Open,70KG,F,2015
Jordan Gomez,W,N/A,San Jose Open,70KG,SF,2016
Victor Paschoal,W,Toe hold,San Jose Open,70KG,F,2016
Vitor Matos,W,Adv,World Champ.,70KG,R1,2016
Ed Ramos,W,Pts: 2x0,World Champ.,70KG,R2,2016
Marcus Wilson,W,Guillotine,American N. NoGi,73KG,1/4F,2016
Andr̩ Rico,W,Toe hold,American N. NoGi,73KG,SF,2016
Rodrigo Freitas,W,Toe hold,American N. NoGi,73KG,F,2016
Daud Adaev,W,Toe hold,Berkut 3,ABS,SPF,2016
Vagner Kuroiwa,W,Toe hold,Atlanta S. Open,70KG,SF,2016
Bruno Frazatto,W,Referee Decision,Atlanta S. Open,70KG,F,2016
Bruno Frazatto,W,Pen,Atlanta S. NoGi,67KG,F,2016
Alberto Govea,W,Toe hold,NoGi Worlds,67KG,1/4F,2016
Gabriel Marangoni,W,Referee Decision,NoGi Worlds,67KG,SF,2016
