Opponent,W/L,Method,Competition,Weight,Stage,Year
Leonardo Vieira;L;Guillotine;ADCC;66KG;1/4F;2009
Theodoro Canal;L;Points;Pan American;70KG;1/4F;2010
Rafael Mendes;L;Pts: 5x2;World Champ.;70KG;R1;2010
Ed Ramos;L;Pts: 12x8;Pan American;70KG;1/4F;2011
Augusto Mendes;L;Pts: 3x2;World Pro.;65KG;1/8F;2011
Augusto Mendes;L;Choke from back;World Champ.;70KG;RDS;2011
Robson Moura;L;Pts: 3x0;ADCC;66KG;1/4F;2011
Justin Rader;L;Points;Ultimate Abs.;76KG;1/4F;2012
Jeff Curran;W;Points;ADCC;66KG;R1;2009
Jeff Glover;W;Points;ADCC;66KG;3RD;2009
Hermes Fran̤a;W;Points;GQ UFC Expo;ABS;SPF;2010
Wilson Reis;W;RNC;US Grappling;70KG;NA;2010
Henrique Rezende;W;Points;Pan American;70KG;R1;2010
Bruno Freitas;W;N/A;Miami Open;70KG;SF;2010
Jason Scully;W;N/A;Miami Open;70KG;F;2010
Emanuel Jesus;W;RNC;GQ B.f.East;70KG;NA;2010
Unknown;W;Toe hold;Gracie Nationals;NA;NA;2010
Milton Bastos;W;RNC;Gracie Nationals;NA;F;2010
Joao Luz;W;Armbar;World Champ.;70KG;RDS;2011
Tetsu Hadario;W;Pts: 5x4;ADCC;66KG;R1;2011
Jorge Britto;W;Heel hook;UFC Expo;ABS;NA;2011
Diego Sanchez;W;Pts: 6x2;UFC Expo;ABS;NA;2010
Jorge Britto;W;Heel hook;UFC Expo;ABS;SPF;2011
Ramon Flores;W;Heel hook;Ultimate Abs.;76KG;R1;2012
