Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcio Cruz,L,Pts: 10x2,Team Nationals,O88KG,F,2002
Hugo Carioni,L,Adv,World Champ.,94KG,1/4F,2003
Alexandre Ribeiro,L,Pts: 0x0, Adv,Golden Cup,94KG,SF,2004
Gabriel Vella,L,Pts: 0x0, Adv,Pan American,94KG,SF,2004
Fernando Margarida,L,Toe hold,World Cup,94KG,F,2004
Roger Gracie,L,Armbar,ADCC,99KG,1/4F,2005
Gabriel Napao,L,Pts: 0x0, Pen,ADCC,ABS,R1,2005
Alexandre Ribeiro,L,Pts: 4x2,World Cup,100KG,1/4F,2005
Ronaldo Souza,L,Clock choke,World Cup,O75KG,1/4F,2005
Fernando Margarida,L,Adv,World Champ.,100KG,1/4F,2005
Braulio Estima,L,Triangle armbar,Pan American,94KG,F,2006
Rafael Lovato,L,Pts: 2x0,Pan American,ABS,1/4F,2006
Jefferson Moura,L,Pts: 5x2,Brasileiro,94KG,F,2006
Murilo Santana,L,Pts: 0x0, Adv,Paulista FPJJ,ABS,F,2007
Rick Macauley,L,Points,GQ All Star Pro,90KG,F,2007
Cristiano Lazzarini,L,Points,NoGi Pan Am.,100KG,SF,2007
Gabriel Vella,L,Referee Decision,Super Challenge,ABS,R1,2007
Andre Galvao,L,Arm in Ezekiel,H. Kong Cup,ABS,F,2008
Roger Gracie,L,Pts: 0x0, Adv,World Champ.,O100KG,SF,2008
Tiago Gaia,L,Referee Decision,World Champ.,100KG,1/4F,2009
Tarsis Humphreys,L,Pts: 2x0,World Champ.,88KG,SF,2010
Sergio Moraes,L,Pts: 5x2,World Champ.,ABS,R2,2011
Romulo Barral,L,Pts: 2x2, Adv,World Champ.,88KG,1/4F,2011
Roberto Alencar,L,Points,NoGi Worlds,94KG,1/4F,2012
Antonio Peinado,L,Points,NoGi Worlds,ABS,1/8F,2012
Joao Miyao,L,Adv,World Expo,ABS,SPF,2013
Antonio Peinado,L,Points,World Champ.,ABS,RDS,2013
AJ Agazarm,L,Pts: 0x0, Adv,NoGi American Nat.,ABS,F,2013
Gustavo Pires,L,Pts: 2x0,IBJJF Pro League,O94KG,SF,2013
Fabiano Leite,L,Kneebar,Pan American,ABS,R2,2014
Rodrigo Pimpolho,L,Points,Pan American,88KG,1/4F,2014
Arnaldo Maidana,L,Armbar,FIVE Cali. 2,ABS,SF,2014
J. Friedrich,L,Kneebar,FIVE NoGi C. 2,ABS,SF,2014
Keenan Cornelius,L,Pts: 0x0, Adv,American Nat.,88KG,F,2014
Arnaldo Maidana,L,Armbar,No Gi Worlds,88KG,1/4F,2014
Jackson Sousa,L,Pts: 2x2, Adv,IBJJF Pro League,94KG,SF,2014
AJ Agazarm,L,Points,Pan American,ABS,R1,2015
Bernardo Faria,L,Pts: 8x0,Pan American,100KG,1/4F,2015
Kyle Griffin,L,Inside heel hook,EBI 8,84KG,1/4F,2016
Fernando Piero,W,Points,Team Nationals,O88KG,F,2003
Bruno Bastos,W,Kneebar,Golden Cup,94KG,1/4F,2004
Todd Margolis,W,Adv,Pan American,ABS,SPF,2004
Rener Gracie,W,Points,Pan American,94KG,1/4F,2004
Antoine Joude,W,Kneebar,ADCC,99KG,R1,2005
Renato Ferro,W,N/A,Copa do Brasil,O75KG,SF,2005
Leopoldo Canal,W,Points,Pan American,94KG,1/4F,2006
Rafael Lovato,W,Pts: 2x0,Pan American,94KG,SF,2006
Carlos Portugues,W,Kneebar,Pan American,ABS,R1,2006
Rigoney Castro,W,Armbar,Brasileiro,94KG,SF,2006
Matheus Costa,W,Armbar,Paulista FPJJ,94KG,F,2007
Eric Shambari,W,Pts: 12x2,GQ All Star Pro,90KG,R1,2007
Chris Downum,W,Pts: 5x0,GQ All Star Pro,90KG,1/4F,2007
Nathan DuCharm,W,Pts: 2x0,GQ All Star Pro,90KG,SF,2007
E. Arrivabene,W,Choke from back,Pan American,94KG,1/4F,2007
Flavio Almeida,W,Points,Pan American,94KG,F,2007
Roberto Alencar,W,Points,NoGi Pan Am.,100KG,1/4F,2007
Paulo Ribeiro,W,Armbar,World Champ.,O100KG,R1,2008
Rafael Eluanger,W,Armbar,World Champ.,O100KG,R2,2008
Tatsui Onosi,W,Kimura,World Champ.,ABS,R1,2008
Andr̩ Steola,W,RNC,ADCC Trials,88KG,R1,2009
Joao Moncaio,W,Cross ck. f/ mount,World Champ.,88KG,R1,2010
Orlando Zanetti,W,Choke from back,World Champ.,88KG,1/4F,2010
Otavio Sousa,W,Pts: 10x10, Adv,World Champ.,ABS,1/4F,2010
Ronaldo Antonio,W,Pts: 17x0,World Champ.,ABS,R2,2011
Unknown,W,N/A,World Champ.,88KG,RDS,2011
Ian Mcpherson,W,Adv,World Champ.,88KG,RDS,2011
Bernardo Tavolaro,W,Points,NoGi Worlds,94KG,R1,2012
Bruno Antunes,W,Pts: 0x0, Adv,NoGi Worlds,ABS,R1,2012
Jaroslaw Konrad,W,Submission,World Champ.,ABS,RDS,2013
Omar Sabha,W,Kimura,NoGi American Nat.,88KG,SF,2013
Jason Manly,W,Pts: 5x0,NoGi American Nat.,88KG,F,2013
Osvaldo Moizinho,W,Pts: 4x0,NoGi American Nat.,ABS,SF,2013
Matt Jubera,W,Points,NoGi Worlds,88KG,SF,2013
Felipe Pena,W,Pts: 6x2,NoGi Worlds,88KG,F,2013
Rafael Fraga,W,Pts: 4x0,Pan American,88KG,R1,2014
Josh Hinger,W,Pts: 2x0,FIVE NoGi C. 2,ABS,1/4F,2014
Ruben Coronado,W,Katagatame,FIVE NoGi C. 2,ABS,3PLC,2014
Elias Ramirez,W,Armbar,American Nat.,88KG,SF,2014
Mike Fowler,D,---,Polaris,ABS,SPF,2015
Fabio Leopoldo,D,---,Metamoris 7,ABS,SPF,2016
Matt Secor,W,Points,EBI 8,84KG,R1,2016
