Opponent,W/L,Method,Competition,Weight,Stage,Year
Patrick Gaudio;L;Referee Decision;Curitiba W. Open;88KG;F;2016
Dimitrius Souza;L;Pts: 2x0;Curitiba W. Open;ABS;F;2016
Patrick Gaudio;L;Adv;Sao Paulo Open;88KG;F;2016
Romes Ramos;W;Pts: 4x0;Curitiba W. Open;ABS;R1;2016
Caio Almeida;W;Choke from back;Curitiba W. Open;ABS;1/4F;2016
Admilson Gobi;W;Choke;Curitiba W. Open;ABS;SF;2016
Bruno Aquino;W;Kneebar;Sao Paulo Open;88KG;SF;2016
